species;order;CMR;n_dead_ind;known_deaths;n_neoplasia;n_no_neoplasia;body_mass_kg;metabolic_rate;life_expectancy_d;gestation_length_d;litter_size_n;total_litters;litters;breeding_system;paternal_care;group_living;animal
Felis_margarita;Carnivora;0,1212;211;33;4;29;2,79;NA;3559,46;66,959;4,5;118,3447726;Polytocous;SingularBreeder;No;no;1
Felis_silvestris;Carnivora;0,025;346;40;1;39;3,64;NA;3555,1;64,719;3,69;202,4200489;Polytocous;SingularBreeder;No;no;1
Galago_senegalensis;Primates;0;356;25;0;25;0,21;764;2600,14;126,49;1,5;54,15601644;Monotocous;SingularBreeder;No;no;1
Gazella_cuvieri;Artiodactyla;0;89;20;0;20;24,25;NA;2317,93;170,873;1,23;34,30471649;Monotocous;NA;NA;NA;0
Gazella_dorcas;Artiodactyla;0,0769;266;39;3;36;13,03;NA;2083,34;156;1,22;27,24620986;Monotocous;PluralBreeder;No;yes;0
Gazella_leptoceros;Artiodactyla;0;141;26;0;26;14,92;NA;1835,87;167,29;1;22,23251507;Monotocous;NA;NA;NA;0
Gazella_marica;Artiodactyla;0;405;33;0;33;16,23;NA;2476,22;169,221;1,39;25,49780584;Monotocous;NA;NA;NA;NA
Gazella_subgutturosa;Artiodactyla;0;348;49;0;49;19,37;NA;1942,64;169,221;1,39;25,49780584;Monotocous;PluralBreeder;No;yes;0
Giraffa_camelopardalis;Artiodactyla;0,0123;1836;163;2;161;911,6;NA;4568,44;456,125;1,12;21,60251317;Monotocous;PluralBreeder;No;NA;0
Gorilla_gorilla;Primates;0,0455;679;22;1;21;136,96;NA;10705,03;257;1,005;14,36626849;Monotocous;PluralBreeder;No;yes;0
Helogale_parvula;Carnivora;0;476;35;0;35;0,43;NA;3156,57;54,785;3,19;120,8761792;Polytocous;SingularBreeder;Yes;no;1
Heterocephalus_glaber;Rodentia;0,0233;632;43;1;42;0,05;128;4726,02;70;8,95;866,9301027;Polytocous;SingularBreeder;Yes;no;0
Hippopotamus_amphibius;Artiodactyla;0;391;22;0;22;1499,45;NA;11384,95;234,685;1;34,56694521;Monotocous;PluralBreeder;No;yes;0
Hippotragus_equinus;Artiodactyla;0;303;35;0;35;243,57;NA;3082,81;283,832;1;28,202;Monotocous;PluralBreeder;No;yes;0
Hippotragus_niger;Artiodactyla;0,0141;477;71;1;70;200,55;NA;2838,43;271;1;20,14589041;Monotocous;PluralBreeder;No;yes;0
Hydrochoerus_hydrochaeris;Rodentia;0,0878;1027;148;13;135;49,47;36,754;1913,9;150,73;3,485;60,31565884;Polytocous;NA;NA;NA;0
Hylobates_lar;Primates;0,125;383;24;3;21;7,5;NA;8411,62;216,243;1;24,59717397;Monotocous;SingularBreeder;No;NA;0
Hystrix_africaeaustralis;Rodentia;0,025;329;40;1;39;15,85;13,175;4472,39;93,49;2,1;76,7989763;Polytocous;SingularBreeder;No;no;0
Hystrix_indica;Rodentia;0,0976;446;41;4;37;17,61;NA;4995,71;113;2;103,9844975;Polytocous;SingularBreeder;No;no;0
Jaculus_jaculus;Rodentia;0,069;129;29;2;27;0,06;515;900,42;38;3,24;31,12553047;Polytocous;SingularBreeder;No;no;0
Kobus_ellipsiprymnus;Artiodactyla;0,0143;736;70;1;69;162,9;148,949;3330,55;270;1,05;32,62374395;Monotocous;PluralBreeder;No;yes;0
Kobus_leche;Artiodactyla;0,0081;959;124;1;123;83,32;NA;3275,13;229,4;1;24,01789315;Monotocous;PluralBreeder;No;yes;0
Kobus_megaceros;Artiodactyla;0,1231;500;65;8;57;76,27;NA;2981,97;235;1;19,1;Monotocous;NA;NA;NA;0
Lagurus_lagurus;Rodentia;0,05;42;20;1;19;0,02;NA;402,17;20,088;4,5;83,72003425;Polytocous;SingularBreeder;No;no;0
Lemur_catta;Primates;0,0677;3668;251;17;234;2,87;NA;5396,88;134,838;1,105;37,76527384;Monotocous;PluralBreeder;No;yes;0
Leontopithecus_chrysomelas;Primates;0,0702;522;57;4;53;0,75;NA;3777,11;132,397;1,95;101,7195943;Polytocous;NA;Yes;no;1
Leontopithecus_rosalia;Primates;0;705;78;0;78;0,68;NA;3919,97;132,397;1,95;101,7195943;Polytocous;SingularBreeder;Yes;no;1
Leopardus_pardalis;Carnivora;0,1935;229;31;6;25;10,85;17,368;5783,08;80,351;1,66;43,79441562;Polytocous;SingularBreeder;No;no;1
Leptailurus_serval;Carnivora;0,098;400;51;5;46;11,91;1,44;4402,02;71,829;2,35;121,910274;Polytocous;SingularBreeder;No;no;1
Litocranius_walleri;Artiodactyla;0,0357;181;28;1;27;25,6;NA;1757,56;204,15;1;22,02327863;Monotocous;PluralBreeder;No;yes;0
Lontra_canadensis;Carnivora;0,1364;214;22;3;19;8,37;NA;4481,42;61,176;2,67;62,745;Polytocous;SingularBreeder;No;no;1
Lutra_lutra;Carnivora;0;243;27;0;27;6,66;25,104;3164,1;62,635;2,035;41,71471233;Polytocous;PluralBreeder;No;no;1
Lycaon_pictus;Carnivora;0,1409;952;149;21;128;29,1;33,01;2649,61;72;7,495;112,9639213;Polytocous;SingularBreeder;Yes;NA;1
Lynx_lynx;Carnivora;0,0882;502;34;3;31;20,5;NA;4925,26;66,495;2,25;56,3609589;Polytocous;SingularBreeder;No;no;1
Macaca_fascicularis;Primates;0,0357;265;28;1;27;6,94;NA;4822,26;165;1;33,01181507;Monotocous;PluralBreeder;No;yes;1
Macaca_fuscata;Primates;0,0833;833;72;6;66;11,93;NA;6508,84;174;1,415;24,36416781;Monotocous;PluralBreeder;No;yes;1
Macaca_nigra;Primates;0;286;24;0;24;9,95;NA;4607,74;175,96;1;20,52643562;Monotocous;PluralBreeder;No;yes;1
Macaca_silenus;Primates;0,0667;447;30;2;28;8,83;NA;5794,96;176;1;25,20074027;Monotocous;PluralBreeder;No;yes;1
Macaca_sylvanus;Primates;0;420;33;0;33;12,67;NA;4835,5;164,42;1,5;37,66023699;Monotocous;PluralBreeder;No;yes;0
Macropus_giganteus;Diprotodontia;0,12;230;25;3;22;38,03;NA;3315,54;36,28;1;23,15909589;Monotocous;PluralBreeder;No;no;0
Macropus_parma;Diprotodontia;0;394;83;0;83;4,38;NA;1477,29;34,33;0,95;17,90376116;Monotocous;NA;NA;NA;0
Macropus_rufogriseus;Diprotodontia;0,012;1678;251;3;248;13,53;NA;1966,66;29,5;1,005;17,88323158;Monotocous;NA;NA;NA;0
Macropus_rufus;Diprotodontia;0,1007;931;139;14;125;34,26;31,353;2275,31;33;1;38,87364384;Monotocous;NA;NA;NA;0
Macroscelides_proboscideus;Macroscelidea;0;432;27;0;27;0,04;292;1135,71;65;1,6;50,61083686;Polytocous;SingularBreeder;No;no;1
Madoqua_kirkii;Artiodactyla;0,0164;382;61;1;60;5,01;11,966;2140,7;172;1;33,32071233;Monotocous;SingularBreeder;No;NA;0
Mico_argentatus;Primates;0,0357;203;28;1;27;0,37;NA;2689,83;144;1,87;66,62089871;Polytocous;NA;NA;NA;0
Mico_melanurus;Primates;0,0476;70;21;1;20;0,38;NA;2116,19;144;1,87;66,62089871;Polytocous;NA;NA;NA;1
Microcebus_murinus;Primates;0,129;296;31;4;27;0,08;NA;2773,3;60,34;2,41;41,8860311;Polytocous;PluralBreeder;No;NA;1
Mungos_mungo;Carnivora;0,0682;723;44;3;41;1,6;NA;2962,1;60,91;2,68;88,21793447;Polytocous;PluralBreeder;Yes;yes;1
Muntiacus_muntjak;Artiodactyla;0;293;27;0;27;23,79;NA;4266,89;210;1,17;28,51754795;Monotocous;SingularBreeder;No;no;0
Muntiacus_reevesi;Artiodactyla;0,0097;778;103;1;102;10,3;NA;2857,87;208,791;1;33,6739726;Monotocous;NA;No;no;0
Mustela_lutreola;Carnivora;0,1538;373;39;6;33;0,91;NA;2261,92;43,74;4,5;45,11958904;Polytocous;SingularBreeder;No;no;1
Mustela_nigripes;Carnivora;0,1111;309;45;5;40;0,92;NA;1471,5;43;3,395;41,07712629;Polytocous;SingularBreeder;No;no;1
Myocastor_coypus;Rodentia;0,037;280;27;1;26;5,54;NA;951,73;131,86;5,34;143,2420549;Polytocous;PluralBreeder;No;yes;0
Nanger_dama;Artiodactyla;0,0187;656;107;2;105;52,06;NA;2331,08;208;1;29,64059836;Monotocous;NA;NA;NA;0
Nasua_nasua;Carnivora;0,0394;1098;127;5;122;5,09;5,591;3252,73;74,03;3,81;90,30273066;Polytocous;PluralBreeder;No;yes;1
Neofelis_nebulosa;Carnivora;0,2609;286;23;6;17;17,89;NA;4215,39;93,134;2,25;68,31780559;Polytocous;SingularBreeder;NA;NA;1
Nycticebus_pygmaeus;Primates;0,1875;287;32;6;26;0,56;NA;3585,03;188;1,12;27,90641096;Monotocous;SingularBreeder;No;no;1
Odocoileus_virginianus;Artiodactyla;0;276;46;0;46;45,12;123,447;3189,76;201,39;1,71;37,88235616;Polytocous;SingularBreeder;No;NA;0
Oryx_beisa;Artiodactyla;0;190;22;0;22;146,78;NA;4041,11;168;1;41,99850814;Monotocous;NA;No;yes;0
Oryx_dammah;Artiodactyla;0,0164;1282;122;2;120;138,57;NA;3507,35;247;1;48,66620548;Monotocous;PluralBreeder;No;yes;0
Oryx_gazella;Artiodactyla;0;396;47;0;47;164,36;NA;3094,84;168;1;41,99850814;Monotocous;PluralBreeder;No;yes;0
Oryx_leucoryx;Artiodactyla;0;578;56;0;56;86,61;NA;3425,35;243;1;29,12417967;Monotocous;PluralBreeder;No;yes;0
Otocolobus_manul;Carnivora;0,0857;292;35;3;32;4,19;NA;2688,23;72,133;4,14;117,5710082;Polytocous;NA;NA;NA;1
Otocyon_megalotis;Carnivora;0,2609;201;23;6;17;4,81;NA;4006,59;68;4;135,061589;Polytocous;SingularBreeder;Yes;NA;1
Ovibos_moschatus;Artiodactyla;0;149;32;0;32;262,37;NA;2993,99;258;1,01;19,62404875;Monotocous;PluralBreeder;No;yes;0
Pachyuromys_duprasi;Rodentia;0,05;137;20;1;19;0,06;NA;1455,81;20,4;4,06;135,2147216;Polytocous;NA;NA;NA;1
Pan_troglodytes;Primates;0,0208;964;48;1;47;59,95;NA;10519,64;229;1,075;13,76766932;Monotocous;PluralBreeder;No;yes;0
Panthera_leo;Carnivora;0,1275;2084;204;26;178;161,94;94,58;4678,41;109;2,825;76,275;Polytocous;PluralBreeder;No;yes;1
Panthera_onca;Carnivora;0,2439;354;41;10;31;57,1;62,419;5659,18;100,745;2;25,88405753;Polytocous;SingularBreeder;No;no;1
Panthera_pardus;Carnivora;0,05;721;100;5;95;43,31;NA;5159,85;97;2,14;52,92835616;Polytocous;SingularBreeder;No;no;1
Panthera_tigris;Carnivora;0,1327;1671;196;26;170;121,44;133,859;4239,66;105,19;2,57;23,46515616;Polytocous;SingularBreeder;No;no;1
Panthera_uncia;Carnivora;0,0989;573;91;9;82;36,94;NA;4229,79;97,915;2,12;40,37926247;Polytocous;NA;No;no;1
Papio_hamadryas;Primates;0,025;1046;40;1;39;20,45;21,095;4958,02;179,277;1;32,53000548;Monotocous;PluralBreeder;No;yes;1
Petaurus_breviceps;Diprotodontia;0,1071;302;28;3;25;0,1;517;2622,54;16,34;2;44,29961918;Polytocous;PluralBreeder;No;yes;1
Phacochoerus_africanus;Artiodactyla;0,1778;362;45;8;37;91,63;NA;3034,37;168,245;3;86,9239726;Polytocous;PluralBreeder;No;yes;0
Phoca_vitulina;Carnivora;0;319;20;0;20;73,5;73,29;6787,47;253,57;1;43,65948219;Monotocous;PluralBreeder;No;yes;NA
Pithecia_pithecia;Primates;0;538;38;0;38;1,96;NA;5126,24;159,565;1;33,88905121;Monotocous;SingularBreeder;No;no;0
Pongo_pygmaeus;Primates;0,0909;332;22;2;20;79,39;NA;10468,77;259,42;1,14;13,03004946;Monotocous;SingularBreeder;No;no;1
Potamochoerus_porcus;Artiodactyla;0,0185;534;54;1;53;74,05;NA;3194,94;120;3;64,47845589;Polytocous;SingularBreeder;No;yes;0
Prionailurus_bengalensis;Carnivora;0,037;241;27;1;26;4,39;NA;3218,01;66,046;2,5;64,59830822;Polytocous;SingularBreeder;No;no;1
Prionailurus_viverrinus;Carnivora;0,05;249;20;1;19;10,18;NA;3726,89;71,43;2;63,65406216;Polytocous;NA;No;no;1
Procavia_capensis;Hyracoidea;0,0649;708;77;5;72;3,34;4,954;1839,65;226,449;2,44;32,78986981;Polytocous;PluralBreeder;No;yes;0
Procyon_lotor;Carnivora;0,2;554;55;11;44;6,68;10,428;3894,25;63,914;3,39;67,8;Polytocous;SingularBreeder;No;no;1
Pseudois_nayaur;Artiodactyla;0;304;34;0;34;45,35;NA;3074,35;159,74;1,5;45,96265023;Monotocous;PluralBreeder;No;no;0
Pteropus_giganteus;Chiroptera;0,037;188;27;1;26;0,65;1,622;3722,03;155,795;995;39,60117174;Monotocous;PluralBreeder;No;yes;0
Pteropus_lylei;Chiroptera;0;323;23;0;23;0,46;NA;4444,7;153,368;1,015;34,76545973;Monotocous;NA;NA;NA;0
Pteropus_rodricensis;Chiroptera;0,0103;1223;97;1;96;0,35;753;3647,13;198;1;27,93109589;Monotocous;PluralBreeder;No;yes;0
Pteropus_vampyrus;Chiroptera;0,1667;299;24;4;20;1,15;4,486;5213,51;165,39;1;19,1237726;Monotocous;PluralBreeder;No;yes;0
Pudu_puda;Artiodactyla;0;279;46;0;46;9,02;NA;2000,25;205,747;1,03;30,7826269;Monotocous;SingularBreeder;No;no;0
Puma_concolor;Carnivora;0,1176;225;34;4;30;50,94;49,326;4386,41;92,3;2,76;27,63213699;Polytocous;SingularBreeder;No;no;1
Pygathrix_nemaeus;Primates;0;104;21;0;21;11,99;NA;4313,66;182,88;1;22,89725092;Monotocous;PluralBreeder;No;yes;0
Rangifer_tarandus;Artiodactyla;0,0345;1023;87;3;84;107,42;119,66;2735,58;222,5;1,1;21,77497616;Monotocous;PluralBreeder;No;yes;0
Rousettus_aegyptiacus;Chiroptera;0,125;515;24;3;21;0,14;684;3516,46;116;1,035;45,333;Monotocous;PluralBreeder;No;yes;0
Rousettus_leschenaultii;Chiroptera;0;116;24;0;24;0,09;NA;2073,84;118,33;1,005;26,83972274;Monotocous;NA;NA;NA;0
Rucervus_duvaucelii;Artiodactyla;0;361;59;0;59;137,95;NA;3042,57;249,94;1;21,6935;Monotocous;PluralBreeder;No;yes;0
Rucervus_eldii;Artiodactyla;0,0111;707;90;1;89;86,5;NA;3135,04;240,19;1,01;19,23388658;Monotocous;NA;NA;NA;0
Rusa_alfredi;Artiodactyla;0,0286;178;35;1;34;40,39;NA;2446,06;249,588;1;24,78786849;Monotocous;NA;NA;NA;0
Saguinus_bicolor;Primates;0;268;41;0;41;0,52;NA;3546,76;160;1,63;41,23313264;Polytocous;NA;Yes;no;1
Saguinus_imperator;Primates;0,0103;855;97;1;96;0,58;NA;2758,02;145;2;69,2324137;Polytocous;SingularBreeder;Yes;no;1
Saguinus_labiatus;Primates;0;210;32;0;32;0,59;NA;2551,53;147;1,9;42,61930915;Polytocous;SingularBreeder;Yes;no;1
Saguinus_midas;Primates;0;387;25;0;25;0,53;NA;3145,25;132,62;2;54,00938411;Polytocous;NA;Yes;no;1
Saguinus_oedipus;Primates;0,0921;1451;152;14;138;0,57;NA;3538,22;177,873;1,9;46,58284658;Polytocous;SingularBreeder;Yes;NA;1
Saimiri_boliviensis;Primates;0,0071;1214;140;1;139;0,94;NA;4289,56;162,545;1;29,22393088;Monotocous;PluralBreeder;No;yes;1
Saimiri_sciureus;Primates;0,0316;1072;95;3;92;0,92;4,429;3961,63;164,09;1;29,11693088;Monotocous;PluralBreeder;No;yes;1
Sapajus_apella;Primates;0,0263;550;38;1;37;3,66;NA;7343,08;158;1,05;25,99837742;Monotocous;NA;NA;NA;NA
Sciurus_vulgaris;Rodentia;0,0357;222;28;1;27;0,36;NA;1387,36;38;4,43;123,8409534;Polytocous;NA;NA;NA;0
Speothos_venaticus;Carnivora;0,0313;289;32;1;31;7,59;NA;2546,02;67,89;4,13;109,2334535;Polytocous;NA;Yes;no;1
Suricata_suricatta;Carnivora;0,0775;4234;413;32;381;1,04;1,729;2851,01;77;3,86;75,656;Polytocous;SingularBreeder;Yes;NA;1
Syncerus_caffer;Artiodactyla;0;305;22;0;22;441,58;NA;5026,79;333,355;1,08;11,12784658;Monotocous;PluralBreeder;No;yes;0
Tapirus_indicus;Perissodactyla;0,2;204;20;4;16;328,41;NA;5722,04;392;1;16,69832877;Monotocous;SingularBreeder;No;no;0
Tapirus_terrestris;Perissodactyla;0,0238;477;42;1;41;207,31;NA;5960,33;396,86;1;65,91106603;Monotocous;SingularBreeder;No;no;0
Theropithecus_gelada;Primates;0;363;22;0;22;18,02;NA;5585,56;172,417;1;16,08206438;Monotocous;PluralBreeder;No;yes;0
Tragelaphus_angasii;Artiodactyla;0,0196;683;102;2;100;79,02;NA;2412,19;224;1;20,88658904;Monotocous;PluralBreeder;No;yes;0
Tragelaphus_eurycerus;Artiodactyla;0,0423;606;71;3;68;250,01;NA;2899,29;288;1;13,99268321;Monotocous;PluralBreeder;No;yes;0
