common_name;species;malignancy_prevalence;malignancy_prevalence reference;group_living;group_living_reference;breeding_system;adult_mass_kg;log_adult_mass_kg;log_adult_mass_kg_category;metabolic_rate_W;log_metabolic_rate_W;log_metabolic_rate_W_category;metabolic_rate_reference;max_lifespan_d;log_max_lifespan_d;log_max_lifespan_d_category;litter_size;litters
Common field vole;Microtus arvalis;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0,025;-3,673;<1;0,343;-1,07;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;1752;7,469;<9;5,1;polytocous
Common mouse;Mus musculus;High;https://doi.org/10.1158/2159-8290.CD-24-0573;;;;0,021;-3,887;<1;0,271;-1,306;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;2190;7,692;<9;6,07;polytocous
Common dormouse;Muscardinus avellanarius;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0,027;-3,6;<1;0,351;-1,047;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;2190;7,692;<9;4,3;polytocous
Ferret;Mustela putorius;High;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0,809;-0,212;<1;;;;;5110;8,539;<9;7,68;polytocous
Killer whale;Orcinus orca;Low;https://doi.org/10.21203%2Frs.3.rs-3117313%2Fv1 / https://doi.org/10.1093/icb/icm062 / https://doi.org/10.1289/ehp.02110285 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;4300;8,366;>1;2274,9;7,73;>1;https://doi.org/10.1111/mms.12091;36500;10,505;>9;1;monotocous
Bighorn sheep;Ovis canadensis;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1016/S0003-3472(05)80607-4;Plural;69,125;4,236;>1;114,674;4,742;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;8760;9,078;>9;1,03;monotocous
Jaguar;Panthera onca;High;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;81,15;4,396;>1;62,419;4,134;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;10353,833;9,245;>9;2;polytocous
Snow leopard;Panthera uncia;High;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;;47,813;3,867;>1;;;;;7738;8,954;<9;2,12;polytocous
Sugar glider;Petaurus breviceps;High;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0,128;-2,059;<1;0,517;-0,66;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;6497;8,779;<9;2;polytocous
Koala;Phascolarctos cinereus;High;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1093/beheco/arq216;;5,647;1,731;>1;5,744;1,748;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;8066,5;8,995;<9;1,005;monotocous
Atlantic harbor seal;Phoca vitulina;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;94,283;4,546;>1;73,29;4,294;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;17374;9,763;>9;1;monotocous
Common porpoise;Phocoena phocoena;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;;;Plural;52,731;3,965;>1;107,675;4,679;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;7446;8,915;<9;1;monotocous
Pale spear nosed bat;Phyllostomus discolor;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0,04;-3,218;<1;0,267;-1,321;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;3285;8,097;<9;1;monotocous
White-faced saki monkey;Pithecia pithecia;Low;https://doi.org/10.1158/2159-8290.CD-24-0573 ;yes;https://doi.org/10.1002/ajp.22360;Singular;1,48;0,392;<1;;;;https://doi.org/10.1111/j.1474-9726.2008.00442.x;13206,917;9,488;>9;1;monotocous
Rodrigues fruit bat;Pteropus rodricensis;Low;https://doi.org/10.1158/2159-8290.CD-24-0573 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0,303;-1,194;<1;0,753;-0,284;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;10950;9,301;>9;1;monotocous
Lion mountain;Puma concolor;High;https://doi.org/10.1158/2159-8290.CD-24-0573;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;48;3,871;>1;49,326;3,898;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;8687;9,07;>9;2,76;polytocous
Black-capped squirrel monkey;Saimiri boliviensis;Low;https://doi.org/10.1158/2159-8290.CD-24-0573 ;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;0,8;-0,223;<1;;;;;11059,5;9,311;>9;1;monotocous
Tasmanian devil;Sarcophilus harrisii;High;https://doi.org/10.1016/j.cell.2011.11.065;no;https://doi.org/10.1371/journal.pone.0230216;;6,5;1,872;>1;8,664;2,159;>1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;4766,292;8,469;<9;2,94;polytocous
Gray squirrel;Sciurus carolinensis;Low;https://doi.org/10.1038%2Fs41568-018-0004-9;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0,54;-0,616;<1;2,062;0,724;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;8760;9,078;>9;3;polytocous
Blind mole rat;Spalax ehrenbergi;Low;https://doi.org/10.1038%2Fs41568-018-0004-9;no;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Singular;0,162;-1,819;<1;0,585;-0,536;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;5645,333;8,639;<9;3,24;polytocous
Kudu;Tragelaphus strepsiceros;Low;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;206,056;5,328;>1;;;;;8577,5;9,057;>9;1;monotocous
Red ruffed lemur;Varecia rubra;High;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1111/j.1558-5646.2007.00229.x  / https://doi.org/10.1126/science.1238677  ;Plural;3,67;1,3;>1;;;;;13206,917;9,488;>9;2,2;polytocous
Fennec fox;Vulpes zerda;High;https://doi.org/10.1158/2159-8290.CD-24-0573;yes;https://doi.org/10.1007/BF00344981 ;Singular;1,208;0,189;<1;2,693;0,991;<1;https://doi.org/10.1111/j.1474-9726.2008.00442.x;5949,5;8,691;<9;2,36;polytocous
