species,dom_fr,max_fr,min_fr,min_fr_TM
myna,5254.102,7665.82,3617.578,2544.42
myna,5340.234,5684.766,3445.312,3282.663
myna,3531.445,7407.422,3186.914,2854.482
myna,6804.492,7321.289,3359.18,2943.071
myna,6890.625,7235.156,2411.719,2145.768
myna,3273.047,7751.953,2583.984,2337.711
myna,2928.516,7838.086,1894.922,1830.844
myna,3186.914,6976.758,2583.984,2214.731
myna,2928.516,7838.086,2583.984,2214.731
myna,4651.172,7751.953,3014.648,3130.153
myna,3186.914,7321.289,2928.516,2893.915
myna,5426.367,7838.086,2842.383,1358.368
myna,5167.969,8096.484,4134.375,2288.555
myna,4478.906,7665.82,2756.25,2510.028
myna,4392.773,8182.617,3273.047,2893.915
myna,4392.773,7062.891,2842.383,2628.147
myna,5512.5,5598.633,2670.117,2539.558
myna,2842.383,5770.898,2670.117,2524.793
myna,3186.914,7062.891,2756.25,1875.139
myna,2842.383,5943.164,2756.25,2657.677
myna,2842.383,5770.898,2756.25,2613.382
myna,5684.766,7407.422,2842.383,2628.147
myna,7493.555,8096.484,3100.781,2510.028
myna,5340.234,7062.891,2756.25,2613.382
myna,5167.969,6976.758,2842.383,2598.617
myna,3100.781,7579.688,2583.984,2332.85
myna,3186.914,5081.836,3014.648,2967.739
myna,3186.914,7321.289,2670.117,2524.793
myna,4823.438,7924.219,3531.445,3159.683
myna,3531.445,7407.422,3100.781,3218.742
myna,3186.914,8182.617,3014.648,2849.62
myna,3100.781,7924.219,3014.648,2849.62
myna,6890.625,8010.352,3273.047,3012.034
myna,3100.781,7062.891,2756.25,2613.382
myna,3273.047,5512.5,2756.25,2554.323
myna,5598.633,7751.953,2756.25,2583.853
myna,4737.305,5340.234,3273.047,3174.447
myna,5254.102,7493.555,2670.117,2332.85
myna,3014.648,7149.023,1464.258,1048.306
myna,4651.172,6890.625,2670.117,1432.193
myna,3445.312,6718.359,1981.055,2554.323
myna,3531.445,7149.023,1291.992,1077.836
myna,5684.766,6632.227,1291.992,2421.439
myna,3014.648,7321.289,2670.117,2569.088
myna,6718.359,7407.422,3186.914,2598.617
myna,3186.914,6976.758,3014.648,2893.915
myna,4565.039,7838.086,4220.508,3410.685
myna,6718.359,8010.352,3359.18,2908.68
myna,5426.367,7321.289,4392.773,4267.048
myna,3014.648,6459.961,2842.383,2613.382
myna,6890.625,7407.422,2842.383,2642.912
myna,6890.625,7407.422,2928.516,2642.912
myna,4565.039,8010.352,3445.312,2362.379
myna,5340.234,9560.742,2756.25,2539.558
